gebouw_leeftijd_nmr;contractduur_dagen_atl;contractduur_jaren_atl;postcode3_cde;reden_vertrek_nam;CBSwijk_cde;CBSbuurt_cde;operationele_bestemming_cde;type_eigenaar_cde;huurklasse_cde;asbestrisico_cde;klant_contracten_vanaf_2010_atl;gebouw_mutaties_vanaf_2010_atl;overig_onderhoud_huidige_contract_periode_bdg;renobeter_huidige_contract_periode_bdg;preDV_cde;voorgaande_mutatiekosten_bdg;renobeter_klasse;voorgaande_mutatiekosten_klasse;contractduur_jaren_klasse;gebouw_leeftijd_klasse;DV_cde
125;5502;16;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;7;8043.80;5302.99;nvt;0.00;3000+;0;11-20;e. 75+;nee
125;167;0;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;7;0.00;2662.29;nvt;51895.63;1500-3000;2500+;0-3;e. 75+;ja
125;1191;3;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;6;372.51;0.00;nvt;284.35;0-500;0-500;0-3;e. 75+;nee
125;1138;3;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;6;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;ja
125;12933;36;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;4;0.00;0.00;nvt;0.00;0;0;30+;e. 75+;ja
125;6175;17;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;4;1060.93;8024.88;nvt;0.00;3000+;0;11-20;e. 75+;nee
125;10574;29;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;5;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;ja
125;1715;5;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;10;1201.78;5109.86;nvt;0.00;3000+;0;4-10;e. 75+;nee
90;3062;8;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;5827;16;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 4;0.00;0;0;11-20;e. 75+;nee
90;3518;10;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;3;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;3449;9;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;6226;17;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 75+;nee
90;2987;9;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
90;9862;27;107;Opzegging i.v.m. overlijden;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;nee
90;3585;10;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
82;3339;10;107;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
82;11398;31;107;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;5;0.00;0.00;CAT 2;0.00;0;0;30+;e. 75+;nee
82;1806;5;107;Ontruiming ivm woonfraude;0;0;Koop;VVE-HUUR;tot 400;ja;1;7;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
